pref_code,pref_name,muni_code,muni_name,muni_type,tri,n_wards,ward_codes,population,fraud_count_raw,fraud_count,fraud_count_frac,fraud_any,gini_2019,vrm_mean,tri_mean,elev_sd_m,TRI_pref,TRI_within,TRI_within_z,TRI_pref_z,TRI_z,pref_pop,log_pref_pop,log_pref_pop_z,Gini_z,log_pop,log_pop_z,VRM_pref_z,fraud_rate_per_100k,log_offset,pref_id
01,北海道,01667,鶴居村,村,17.800841946023397,1,['01667'],2534,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-12.837251239599244,-0.7159834984340435,-0.05853338261030163,-0.6083814432065766,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,7.837554360881084,-1.3523697337289131,-0.44945041692694127,0.0,7.837554360881084,0
01,北海道,01484,羽幌町,町,29.01237187087188,1,['01484'],6993,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-1.6257213147507592,-0.09067280936462992,-0.05853338261030163,-0.10766759862299023,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,8.852664927703866,-0.7299902093962704,-0.44945041692694127,0.0,8.852664927703866,0
01,北海道,01485,初山別村,村,25.117127834464767,1,['01485'],1173,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-5.520965351157873,-0.30792573994824723,-0.05853338261030163,-0.2816316008719564,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,7.067319848653476,-1.824612073639944,-0.44945041692694127,0.0,7.067319848653476,0
01,北海道,01486,遠別町,町,27.22156149710342,1,['01486'],2692,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-3.416531688519221,-0.19055327851736642,-0.05853338261030163,-0.18764629494546328,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,7.898039690764619,-1.3152852701518638,-0.44945041692694127,0.0,7.898039690764619,0
01,北海道,01487,天塩町,町,11.292552704236838,1,['01487'],3065,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-19.345540481385804,-1.0789761370591064,-0.05853338261030163,-0.8990456567225551,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,8.027802848370312,-1.2357255306061394,-0.44945041692694127,0.0,8.027802848370312,0
01,北海道,01511,猿払村,村,13.70807029450635,1,['01511'],2745,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-16.93002289111629,-0.9442533134163617,-0.05853338261030163,-0.791167150631918,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,7.917536353943631,-1.303331573331027,-0.44945041692694127,0.0,7.917536353943631,0
01,北海道,01512,浜頓別町,町,22.147595363231467,1,['01512'],3618,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-8.490497822391173,-0.4735481312050755,-0.05853338261030163,-0.41425275340454604,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,8.193676665955241,-1.1340258034415707,-0.44945041692694127,0.0,8.193676665955241,0
01,北海道,01513,中頓別町,町,31.52615178091297,1,['01513'],1730,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,0.8880585952903282,0.049530486550658274,-0.05853338261030163,0.004599363301982272,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,7.455876687491824,-1.5863820438912486,-0.44945041692694127,0.0,7.455876687491824,0
01,北海道,01514,枝幸町,町,32.10842371441012,1,['01514'],8177,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,1.470330528787482,0.0820060600362997,-0.05853338261030163,0.03060398714625376,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,9.009080614161977,-0.6340894043828219,-0.44945041692694127,0.0,9.009080614161977,0
01,北海道,01516,豊富町,町,10.952497705607604,1,['01516'],3940,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-19.68559548001504,-1.097942328733185,-0.05853338261030163,-0.9142327227942546,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,8.27893600229198,-1.0817520246745331,-0.44945041692694127,0.0,8.27893600229198,0
01,北海道,01483,苫前町,町,29.008446253073878,1,['01483'],3100,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,-1.6296469325487628,-0.09089175635819342,-0.05853338261030163,-0.10784291913617441,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,8.039157390473237,-1.2287638904223,-0.44945041692694127,0.0,8.039157390473237,0
01,北海道,01517,礼文町,町,30.989687340951797,1,['01517'],2526,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,0.35159415532915617,0.01960977538439066,-0.05853338261030163,-0.019359469615191527,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,7.8343923029104365,-1.3543084389301046,-0.44945041692694127,0.0,7.8343923029104365,0
01,北海道,01519,利尻富士町,町,43.62009503643567,1,['01519'],2492,0.0,0,0.0,0,0.276,0.0035529692838426,32.53672623043175,291.77093734295096,30.63809318562264,12.982001850813031,0.7240568037766715,-0.05853338261030163,0.5447223317317654,5304413,15.484049673578143,0.7395278378551027,-0.34818841101718695,7.820840879907344,-1.3626170197668634,-0.44945041692694127,0.0,7.820840879907344,0
