pref_code,pref_name,muni_code,muni_name,muni_type,tri
01,北海道,01481,増毛町,町,50.577628603107144
01,北海道,01482,小平町,町,32.659803296901515
01,北海道,01483,苫前町,町,29.008446253073874
01,北海道,01484,羽幌町,町,29.012371870871878
01,北海道,01485,初山別村,村,25.117127834464767
01,北海道,01486,遠別町,町,27.22156149710342
01,北海道,01487,天塩町,町,11.292552704236838
01,北海道,01511,猿払村,村,13.70807029450635
01,北海道,01512,浜頓別町,町,22.147595363231467
01,北海道,01513,中頓別町,町,31.52615178091297
01,北海道,01514,枝幸町,町,32.10842371441012
01,北海道,01516,豊富町,町,10.952497705607604
01,北海道,01517,礼文町,町,30.989687340951793
01,北海道,01518,利尻町,町,38.25932081052903
01,北海道,01519,利尻富士町,町,43.62009503643567
01,北海道,01520,幌延町,町,17.962477708824476
01,北海道,01543,美幌町,町,17.02485059599898
01,北海道,01544,津別町,町,31.10566535857203
01,北海道,01545,斜里町,町,43.379497308872864
01,北海道,01546,清里町,町,25.795196609213825
01,北海道,01547,小清水町,町,12.548646650156408
01,北海道,01549,訓子府町,町,20.957178927873244
01,北海道,01550,置戸町,町,39.866966423576706
01,北海道,01552,佐呂間町,町,24.311733171523947
01,北海道,01555,遠軽町,町,51.68058431317261
01,北海道,01559,湧別町,町,19.973692470358618
01,北海道,01560,滝上町,町,52.19699541486916
01,北海道,01561,興部町,町,26.786179078826656
01,北海道,01562,西興部村,村,38.74969884209316
01,北海道,01563,雄武町,町,30.129222840181402
01,北海道,01564,大空町,町,13.494635723066377
01,北海道,01571,豊浦町,町,33.254914983736114
01,北海道,01575,壮瞥町,町,35.169226659091414
01,北海道,01578,白老町,町,30.529441060022325
01,北海道,01581,厚真町,町,19.47585039448308
01,北海道,01584,洞爺湖町,町,27.520930196056703
01,北海道,01585,安平町,町,10.401797731734382
01,北海道,01586,むかわ町,町,28.53812901468545
01,北海道,01601,日高町,町,52.72551150776332
01,北海道,01602,平取町,町,46.47562736729618
01,北海道,01604,新冠町,町,56.69690331431398
01,北海道,01607,浦河町,町,65.15923554189071
01,北海道,01608,様似町,町,64.36223180388983
01,北海道,01609,えりも町,町,56.0180494163162
01,北海道,01610,新ひだか町,町,65.27836099945984
01,北海道,01631,音更町,町,7.87378997282674
01,北海道,01632,士幌町,町,9.801540920564127
01,北海道,01633,上士幌町,町,42.66153252160418
01,北海道,01634,鹿追町,町,30.975302952250477
01,北海道,01635,新得町,町,48.55416788539643
01,北海道,01636,清水町,町,29.366058192760264
01,北海道,01637,芽室町,町,31.12066293999429
01,北海道,01638,中札内村,村,63.23762735393257
01,北海道,01639,更別村,村,4.54183724993598
01,北海道,01641,大樹町,町,51.184291318762135
01,北海道,01642,広尾町,町,55.6678318623737
01,北海道,01643,幕別町,町,10.798991939132641
01,北海道,01644,池田町,町,18.28718178258908
01,北海道,01645,豊頃町,町,14.280276875591614
01,北海道,01646,本別町,町,21.3348782321697
01,北海道,01647,足寄町,町,35.886345865810824
01,北海道,01648,陸別町,町,29.108759495238967
01,北海道,01649,浦幌町,町,23.76219651609743
01,北海道,01661,釧路町,町,13.499044240388887
01,北海道,01662,厚岸町,町,10.200817677043165
01,北海道,01663,浜中町,町,6.502707141835601
01,北海道,01664,標茶町,町,11.642499152014336
01,北海道,01665,弟子屈町,町,27.003965120881354
01,北海道,01667,鶴居村,村,17.800841946023397
01,北海道,01668,白糠町,町,32.20403581392079
01,北海道,01691,別海町,町,3.896644428616714
01,北海道,01692,中標津町,町,14.632765622432393
01,北海道,01693,標津町,町,27.331471254038007
01,北海道,01694,羅臼町,町,57.622066361799064
01,北海道,01695,色丹村,村,28.769983288739855
01,北海道,01696,泊村,村,19.648680553364194
01,北海道,01697,留夜別村,村,38.22638149734656
01,北海道,01698,留別村,村,33.96397160538719
01,北海道,01699,紗那村,村,36.3074902420203
01,北海道,01700,蘂取村,村,40.64465245530483
02,青森県,02201,青森市,市,29.874464914303008
02,青森県,02202,弘前市,市,27.621485775285517
02,青森県,02203,八戸市,市,13.163205522872742
02,青森県,02204,黒石市,市,37.012788983073435
02,青森県,02205,五所川原市,市,16.471896567175488
02,青森県,02206,十和田市,市,25.283298805070558
02,青森県,02207,三沢市,市,3.8429287368143563
02,青森県,02208,むつ市,市,32.73783550445868
02,青森県,02209,つがる市,市,2.582823066738899
02,青森県,02210,平川市,市,35.22395428444473
02,青森県,02301,平内町,町,32.435445922594106
02,青森県,02303,今別町,町,35.90317988412886
02,青森県,02304,蓬田村,村,21.850006430348135
02,青森県,02307,外ヶ浜町,町,36.907084358133
02,青森県,02321,鰺ヶ沢町,町,45.34016209219057
02,青森県,02323,深浦町,町,58.74165272807743
02,青森県,02343,西目屋村,村,56.41688737337837
02,青森県,02361,藤崎町,町,0.6705951809085223
02,青森県,02362,大鰐町,町,51.64930253511694
02,青森県,02367,田舎館村,村,0.9606708429258335
02,青森県,02381,板柳町,町,0.6584377472936332
02,青森県,02384,鶴田町,町,1.3637328835558704
02,青森県,02387,中泊町,町,24.60582575169579
02,青森県,02401,野辺地町,町,19.635672638104655
02,青森県,02402,七戸町,町,27.974773379708182
02,青森県,02405,六戸町,町,8.202643221474531
02,青森県,02406,横浜町,町,22.237512708563465
02,青森県,02408,東北町,町,10.873736905515983
02,青森県,02411,六ヶ所村,村,16.451002364695594
02,青森県,02412,おいらせ町,町,5.066848342808155
02,青森県,02423,大間町,町,29.474920046296635
02,青森県,02424,東通村,村,20.398522198672723
02,青森県,02425,風間浦村,村,47.41983754806361
02,青森県,02426,佐井村,村,49.28197249349922
02,青森県,02441,三戸町,町,27.27352761801676
02,青森県,02442,五戸町,町,16.333530080882444
02,青森県,02443,田子町,町,40.25706483518452
02,青森県,02445,南部町,町,20.218066966251538
02,青森県,02446,階上町,町,22.704635970470715
02,青森県,02450,新郷村,村,27.996345051576466
03,岩手県,03201,盛岡市,市,33.481883112603576
03,岩手県,03202,宮古市,市,58.39332686268044
03,岩手県,03203,大船渡市,市,57.16954945329432
03,岩手県,03205,花巻市,市,37.2571840809578
03,岩手県,03206,北上市,市,31.770098636911694
03,岩手県,03207,久慈市,市,35.52451905414062
03,岩手県,03208,遠野市,市,43.29480532727126
03,岩手県,03209,一関市,市,29.244590616235868
03,岩手県,03210,陸前高田市,市,53.60427410034203
03,岩手県,03211,釜石市,市,64.91200148138131
03,岩手県,03213,二戸市,市,29.478963817499825
03,岩手県,03214,八幡平市,市,37.7216387480222
03,岩手県,03215,奥州市,市,28.89488426347175
03,岩手県,03216,滝沢市,市,20.333293782728816
03,岩手県,03301,雫石町,町,42.79969032565702
03,岩手県,03302,葛巻町,町,45.8997140916883
03,岩手県,03303,岩手町,町,27.13188191560249
03,岩手県,03321,紫波町,町,27.920082257042267
03,岩手県,03322,矢巾町,町,15.207150168008496
03,岩手県,03366,西和賀町,町,48.1388470691446
03,岩手県,03381,金ケ崎町,町,16.35262364564809
03,岩手県,03402,平泉町,町,20.141579825484847
03,岩手県,03441,住田町,町,56.84985079626739
03,岩手県,03461,大槌町,町,67.24612421035425
03,岩手県,03482,山田町,町,58.41406837163751
03,岩手県,03483,岩泉町,町,57.3294584581408
03,岩手県,03484,田野畑村,村,32.42245790044573
03,岩手県,03485,普代村,村,29.796251779409108
03,岩手県,03501,軽米町,町,22.784446725710918
03,岩手県,03503,野田村,村,38.48808108822272
03,岩手県,03506,九戸村,村,26.22733643740277
03,岩手県,03507,洋野町,町,17.396777866331558
03,岩手県,03524,一戸町,町,29.14554711908057
04,宮城県,04101,仙台市,市,37.58447763604355
04,宮城県,04102,仙台市,市,3.2080891491917423
04,宮城県,04103,仙台市,市,0.9679568408816974
04,宮城県,04104,仙台市,市,43.49404078805545
04,宮城県,04105,仙台市,市,21.383988500661435
04,宮城県,04202,石巻市,市,29.305510710371614
04,宮城県,04203,塩竈市,市,10.49763528588323
04,宮城県,04205,気仙沼市,市,36.2200245760824
04,宮城県,04206,白石市,市,36.54722826723056
04,宮城県,04207,名取市,市,12.290544139152239
04,宮城県,04208,角田市,市,13.464013594217834
04,宮城県,04209,多賀城市,市,3.4024787985260576
04,宮城県,04211,岩沼市,市,9.976997420831434
04,宮城県,04212,登米市,市,17.61140798905481
