Prefecture,Municipality,TRI,TRI_z,TRI_pref,TRI_pref_z,Population,fraud_count,fraud_any,fraud_rate_per_100k
三重県,いなべ市,36.69296651659773,0.29993021901548783,43.51052646866715,0.38051413826287134,44507,0,0,0
三重県,亀山市,33.57699930537045,0.1621236968302472,43.51052646866715,0.38051413826287134,49130,0,0,0
三重県,伊勢市,30.78923746326825,0.03883235963112715,43.51052646866715,0.38051413826287134,118849,1,1,0.8414037980967446
三重県,伊賀市,25.8763883750092,-0.17844291991433794,43.51052646866715,0.38051413826287134,84603,1,1,1.1819911823457796
三重県,南伊勢町,54.5261470069377,1.0886190646556493,43.51052646866715,0.38051413826287134,10489,0,0,0
三重県,名張市,30.258488412546058,0.01535949362354951,43.51052646866715,0.38051413826287134,74229,3,1,4.0415471042315
三重県,四日市市,9.637076322585086,-0.8966414646750189,43.51052646866715,0.38051413826287134,306378,2,1,0.6527883855890436
三重県,多気町,29.298350885080044,-0.02710347357420652,43.51052646866715,0.38051413826287134,13637,0,0,0
三重県,大台町,80.8402380503083,2.252383997125664,43.51052646866715,0.38051413826287134,8204,0,0,0
三重県,大紀町,62.00742929702673,1.419485670109157,43.51052646866715,0.38051413826287134,7227,0,0,0
三重県,尾鷲市,79.05638863551536,2.1734916124211505,43.51052646866715,0.38051413826287134,15524,0,0,0
三重県,川越町,1.2746462066900353,-1.2664776449584192,43.51052646866715,0.38051413826287134,15745,0,0,0
三重県,度会町,54.84495254577635,1.1027185334826792,43.51052646866715,0.38051413826287134,7556,0,0,0
三重県,御浜町,47.02712806156173,0.7569680392725984,43.51052646866715,0.38051413826287134,7809,0,0,0
三重県,志摩市,21.673962467197335,-0.36429907944324663,43.51052646866715,0.38051413826287134,44110,0,0,0
三重県,明和町,2.6934170941579603,-1.2037311946507427,43.51052646866715,0.38051413826287134,22630,0,0,0
三重県,朝日町,8.25480585473289,-0.957773650279453,43.51052646866715,0.38051413826287134,11107,0,0,0
三重県,木曽岬町,0.7227316140333089,-1.2908865765682456,43.51052646866715,0.38051413826287134,5875,0,0,0
三重県,東員町,6.038206501716799,-1.0558047999066311,43.51052646866715,0.38051413826287134,25737,0,0,0
三重県,松阪市,51.224446494355696,0.9425983160108188,43.51052646866715,0.38051413826287134,156026,2,1,1.2818376424442082
三重県,桑名市,12.231752987838188,-0.781889497406116,43.51052646866715,0.38051413826287134,137978,0,0,0
三重県,津市,34.34013790023264,0.195874204641871,43.51052646866715,0.38051413826287134,268388,3,1,1.1177846997630296
三重県,熊野市,69.50122100896492,1.7509055162750085,43.51052646866715,0.38051413826287134,14981,0,0,0
三重県,玉城町,13.455895873670244,-0.7277506498770124,43.51052646866715,0.38051413826287134,15035,0,0,0
三重県,紀北町,78.67573117813586,2.156656685482146,43.51052646866715,0.38051413826287134,13759,0,0,0
三重県,紀宝町,55.91313930588189,1.1499600775926655,43.51052646866715,0.38051413826287134,10120,0,0,0
三重県,菰野町,34.1362910129886,0.18685888814939616,43.51052646866715,0.38051413826287134,40758,0,0,0
三重県,鈴鹿市,13.675865478345832,-0.7180222913443609,43.51052646866715,0.38051413826287134,194451,0,0,0
三重県,鳥羽市,32.5144164371591,0.11512999000489524,43.51052646866715,0.38051413826287134,16424,0,0,0
京都府,与謝野町,43.446491560429486,0.5986110894136121,42.31636025167187,0.29672143676635415,19402,0,0,0
京都府,久御山町,2.023091991900171,-1.233376940197349,42.31636025167187,0.29672143676635415,15231,0,0,0
京都府,亀岡市,39.160768846235875,0.4090710518402728,42.31636025167187,0.29672143676635415,86209,0,0,0
京都府,井手町,29.880125339304808,-0.00137396206199972,42.31636025167187,0.29672143676635415,6958,0,0,0
京都府,京丹後市,35.49804807737642,0.24708384957655924,42.31636025167187,0.29672143676635415,50042,0,0,0
京都府,京丹波町,46.11164627698455,0.7164800134673367,42.31636025167187,0.29672143676635415,12384,0,0,0
京都府,京田辺市,13.106984795144635,-0.7431815639476961,42.31636025167187,0.29672143676635415,72011,0,0,0
京都府,京都市,23.496105967147397,-0.28371310352353885,42.31636025167187,0.29672143676635415,128415.45454545456,5,1,3.8936123519542387
京都府,伊根町,50.13529660031991,0.8944296579791515,42.31636025167187,0.29672143676635415,1861,0,0,0
京都府,八幡市,7.308085212067049,-0.9996432433793656,42.31636025167187,0.29672143676635415,68598,0,0,0
京都府,南丹市,53.97865991725734,1.064405943446183,42.31636025167187,0.29672143676635415,29531,0,0,0
京都府,南山城村,30.397956703345407,0.02152760734468466,42.31636025167187,0.29672143676635415,2379,0,0,0
京都府,向日市,6.16306046628933,-1.0502830182342229,42.31636025167187,0.29672143676635415,56186,0,0,0
京都府,和束町,41.19599637552956,0.49908086537651847,42.31636025167187,0.29672143676635415,3377,0,0,0
京都府,城陽市,12.61320016708472,-0.7650196442895838,42.31636025167187,0.29672143676635415,73321,0,0,0
京都府,大山崎町,23.44370973813259,-0.2860303750500605,42.31636025167187,0.29672143676635415,16633,0,0,0
京都府,宇治市,28.724059319855183,-0.05250204742273726,42.31636025167187,0.29672143676635415,179582,0,0,0
京都府,宇治田原町,38.66544907645229,0.38716507844057674,42.31636025167187,0.29672143676635415,8688,0,0,0
京都府,宮津市,49.02916700968735,0.84551005721377,42.31636025167187,0.29672143676635415,15966,0,0,0
京都府,木津川市,20.944802695279257,-0.3965468424888136,42.31636025167187,0.29672143676635415,79339,0,0,0
京都府,福知山市,44.84078092675522,0.6602748218819439,42.31636025167187,0.29672143676635415,74540,0,0,0
京都府,笠置町,54.56613898695487,1.0903877468361327,42.31636025167187,0.29672143676635415,1066,0,0,0
