prefecture,year,crime_count
長崎,2012,8460
長野,2012,15463
青森,2012,7424
静岡,2012,32396
香川,2012,8849
高知,2012,7082
鳥取,2012,4313
鹿児島,2012,10503
三重,2013,19726
京,2013,31944
佐賀,2013,7509
兵庫,2013,70532
北海道,2013,41066
千葉,2013,77904
和歌山,2013,9110
埼玉,2013,84154
大分,2013,6290
大阪,2013,151413
奈良,2013,12337
宮城,2013,19367
宮崎,2013,7997
富山,2013,6383
山口,2013,10292
山形,2013,6178
山梨,2013,7461
岐阜,2013,22357
岡山,2013,19824
岩手,2013,5757
島根,2013,4379
広島,2013,22592
徳島,2013,5818
愛媛,2013,13598
愛知,2013,96839
新潟,2013,17320
東京,2013,162557
栃木,2013,18924
沖縄,2013,10820
滋賀,2013,15447
熊本,2013,12836
石川,2013,7481
神奈川,2013,76962
福井,2013,5285
福岡,2013,66794
福島,2013,14596
秋田,2013,3972
群馬,2013,18820
茨城,2013,35055
長崎,2013,7318
長野,2013,14791
青森,2013,6515
静岡,2013,29395
香川,2013,8340
高知,2013,6530
鳥取,2013,4279
鹿児島,2013,9276
三重,2014,17550
京,2014,28671
佐賀,2014,6284
兵庫,2014,64911
北海道,2014,40359
千葉,2014,68026
和歌山,2014,8704
埼玉,2014,76857
大分,2014,5384
大阪,2014,148257
奈良,2014,11140
宮城,2014,18630
宮崎,2014,7321
富山,2014,6223
山口,2014,8695
山形,2014,5358
山梨,2014,6528
岐阜,2014,20192
岡山,2014,17209
岩手,2014,5115
島根,2014,4772
広島,2014,21123
徳島,2014,4643
愛媛,2014,12599
愛知,2014,85037
新潟,2014,16424
東京,2014,160120
栃木,2014,16345
沖縄,2014,9879
滋賀,2014,12435
熊本,2014,10879
石川,2014,7494
神奈川,2014,67295
福井,2014,4871
福岡,2014,63259
福島,2014,14316
秋田,2014,3603
群馬,2014,17782
茨城,2014,30502
長崎,2014,6017
長野,2014,13206
青森,2014,5753
静岡,2014,25601
香川,2014,8802
高知,2014,5710
鳥取,2014,4077
鹿児島,2014,8205
三重,2015,15178
京,2015,24068
佐賀,2015,5422
兵庫,2015,59374
北海道,2015,35457
千葉,2015,61656
和歌山,2015,7539
埼玉,2015,73456
大分,2015,4843
大阪,2015,132471
奈良,2015,10036
宮城,2015,17742
宮崎,2015,6632
富山,2015,6115
山口,2015,7701
山形,2015,5014
山梨,2015,6406
岐阜,2015,18160
岡山,2015,14706
岩手,2015,4884
島根,2015,3342
広島,2015,18777
徳島,2015,4543
愛媛,2015,11407
愛知,2015,76663
新潟,2015,14970
東京,2015,148182
栃木,2015,14630
沖縄,2015,9463
滋賀,2015,11308
熊本,2015,10274
石川,2015,7585
神奈川,2015,61664
福井,2015,3880
福岡,2015,54663
福島,2015,12791
秋田,2015,3154
群馬,2015,16275
茨城,2015,29085
長崎,2015,4965
長野,2015,11502
青森,2015,5486
静岡,2015,23480
香川,2015,7212
高知,2015,5664
鳥取,2015,3388
鹿児島,2015,7756
三重,2016,14112
京,2016,20479
佐賀,2016,5089
兵庫,2016,53183
北海道,2016,32013
千葉,2016,57277
和歌山,2016,6360
埼玉,2016,69456
大分,2016,4054
大阪,2016,122136
奈良,2016,9307
宮城,2016,16466
宮崎,2016,5346
富山,2016,5394
山口,2016,6852
山形,2016,4896
山梨,2016,5070
岐阜,2016,15607
岡山,2016,12740
岩手,2016,4223
島根,2016,3047
広島,2016,17107
徳島,2016,3953
愛媛,2016,9776
愛知,2016,70254
新潟,2016,14149
東京,2016,134619
栃木,2016,13253
沖縄,2016,8082
滋賀,2016,9573
熊本,2016,8923
石川,2016,6202
神奈川,2016,58127
福井,2016,3645
福岡,2016,46619
福島,2016,11575
秋田,2016,2947
群馬,2016,14006
茨城,2016,26607
長崎,2016,4659
長野,2016,10664
青森,2016,5050
静岡,2016,22097
香川,2016,6075
高知,2016,4792
鳥取,2016,2907
鹿児島,2016,7352
三重,2017,13346
京,2017,18603
佐賀,2017,4331
兵庫,2017,50821
北海道,2017,0
千葉,2017,52974
和歌山,2017,5921
埼玉,2017,63383
大分,2017,3958
大阪,2017,107023
奈良,2017,9052
宮城,2017,14929
宮崎,2017,4990
富山,2017,5330
山口,2017,6296
山形,2017,3975
山梨,2017,4617
岐阜,2017,14897
岡山,2017,11105
岩手,2017,3435
島根,2017,2773
広島,2017,15982
徳島,2017,3694
