발생년도,경찰서,살인,강도,절도,폭력,tri,elevation,elev_std,elev_range,crime_name,lat,lon,province,log_tri,tri_within,total_crime,province_full,province_pop,province_area,province_density,n_stations,station_pop_estimate,log_pop,theft_rate,violence_rate,total_rate,district_pop,district_density,district_matched,final_pop,final_density,grdp_pc,median_age,young_male_ratio,unemployment,elderly_ratio
2024,서울중부서,3,1,820,874,197.5911741708568,57.0,86.3555369879686,481.0,서울중부서,37.563626,126.9898061,서울,5.291248310396269,-0.171693072276706,1698,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,270.10944639251943,287.89714164275847,559.3241950908512,127000.0,12751.0,True,127000.0,12751.0,125.0,47.2,0.105,3.2,0.183
2024,서울종로서,1,4,641,782,223.4923501602416,41.0,94.75026898935889,529.0,서울종로서,37.5755363,126.9848812,서울,5.413841631591683,0.2198643983030267,1428,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,211.1465306556158,257.5921793645734,470.3857188396557,143000.0,5981.0,True,143000.0,5981.0,98.0,46.5,0.108,3.2,0.183
2024,서울남대문서,2,4,578,496,165.8704076812609,39.0,82.48169675909382,539.0,서울남대문서,37.5490098,126.9685671,서울,5.117217509262802,-0.6512274029421112,1080,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,190.39421953033687,163.3832748910849,355.7539050047817,127000.0,12751.0,True,127000.0,12751.0,125.0,47.2,0.105,3.2,0.183
2024,서울서대문서,3,0,1014,906,165.8704076812609,39.0,82.48169675909382,539.0,서울서대문서,37.5490098,126.9685671,서울,5.117217509262802,-0.6512274029421112,1923,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,334.0133885878228,298.43799808734457,633.4395919668474,302000.0,17149.0,True,302000.0,17149.0,47.2,43.5,0.128,3.2,0.183
2024,서울혜화서,1,1,542,584,236.81538822914493,62.0,96.5808047794791,572.0,서울혜화서,37.5784461,127.013384,서울,5.471494692966833,0.4212735964350059,1128,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,178.53575603017745,192.3706301136968,371.5651896716609,143000.0,5981.0,True,143000.0,5981.0,98.0,46.5,0.108,3.2,0.183
2024,서울용산서,10,4,1082,1959,150.9268583394046,50.0,74.336666243373,513.0,서울용산서,37.5491151,126.9784616,서울,5.023399209899248,-0.8771344576711603,3055,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,356.4127085325683,645.2980554670067,1006.3223886940814,222000.0,10151.0,True,222000.0,10151.0,52.0,44.8,0.118,3.2,0.183
2024,서울성북서,1,0,502,593,248.9368541101422,36.0,99.43042793066842,503.0,서울성북서,37.5897183,127.0162484,서울,5.521208302398216,0.6045181920482321,1096,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,165.35968547444483,195.33524598873657,361.0243332270748,420000.0,17094.0,True,420000.0,17094.0,32.0,43.5,0.125,3.2,0.183
2024,서울동대문서,7,4,1617,1463,228.9470505707563,40.0,92.4830314766504,476.0,서울동대문서,37.5851376,127.0457718,서울,5.43784906750992,0.3023250825741459,3091,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,532.6426522154926,481.9147805759218,1018.1808521942409,335000.0,23575.0,True,335000.0,23575.0,35.0,44.2,0.122,3.2,0.183
2024,서울마포서,4,4,1471,1909,148.20619764434454,25.0,77.22613898939838,450.0,서울마포서,37.564346,126.908555,서울,5.005329226078144,-0.9182636720550942,3388,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,484.5499946870684,628.8279672723409,1116.0131760705558,369000.0,15479.0,True,369000.0,15479.0,48.0,41.2,0.142,3.2,0.183
2024,서울영등포서,11,6,1791,2075,144.71113800938326,21.0,69.66560230042158,308.0,서울영등포서,37.5135448,126.8976623,서울,4.98162615509329,-0.9710997560518836,3883,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,589.9585591329296,683.5086600786315,1279.067049197747,375000.0,15275.0,True,375000.0,15275.0,65.0,43.8,0.122,3.2,0.183
2024,서울성동서,5,3,966,1029,187.3297511284865,29.0,93.99263186706696,571.0,서울성동서,37.561716,127.036215,서울,5.2381944217407295,-0.326818725747644,2003,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,318.2021039209436,338.9544150462225,659.7917330783126,289000.0,17151.0,True,289000.0,17151.0,45.0,42.5,0.128,3.2,0.183
